study_id,Climate_Zone,Experiment_Type,Crop_Type,Growth_Stage_Treated,Drought_Level,Drought_Timing,Soil_Texture,Soil_Organic_Matter_percent,Soil_EC_dS_m,Soil_pH,Biochar_Feedstock,Biochar_Rate_t_ha,Biochar_pH,Biochar_CEC,Biochar_TOC_percent,Outcome_Variable,Outcome_Unit,treatment_mean,treatment_SD,treatment_n,control_mean,control_SD,control_n
Zhang et al. (2024b),Cwa,Field,Maize,Whole season,Moderate,Whole season,NA,NA,NA,NA,NA,30,NA,NA,NA,Crop Productivity,kg/ha,8800,250,3,6500,200,3
Wang et al. (2025),Cwa,Field,Maize,Vegetative stage,Moderate,Vegetative stage,NA,NA,NA,NA,NA,0,NA,NA,NA,Crop Productivity,kg/ha,10238.4,367.6,3,10209.4,325.8,3
Yang et al. (2018),Cfa,Field,Rice,Whole season,None (Control),NA,NA,NA,NA,NA,NA,40,NA,NA,NA,Crop Productivity,kg/ha,8550,7.19,3,7380,2.635,3
Ghori et al. (2019),BSh,Pot,Spinach,Whole season,None (Control),NA,NA,77,2.38,NA,NA,10,8.73,NA,71,Water Use Efficiency,kg/m³,9.3,1,3,4,0.5,3
Elbashier et al. (2018),NA,Pot,Melon,Whole season,Salinity (Non-drought),Whole season,Loam,0.99,1.06,7.7,NA,50,6.5,NA,NA,Crop Productivity,kg/ha,225000,"15,000",3,85000,"10,000",3
Huang et al. (2019),NA,Field,Wheat,Whole season,Salinity (Non-drought),Whole season,Clay loam,NA,4.77,NA,NA,30,NA,NA,NA,Crop Productivity,kg/ha,5350,150,4,6050,160,4
Abd El-Mageed et al. (2021),BWh,Field,Faba bean,Whole season,Severe,Whole season,Loamy sand,1.53,7.23,7.65,NA,10,7.12,46.5,42.7,Crop Productivity,kg/ha,4400,200,3,2700,200,3
Aiad et al. (2021),NA,Field,Wheat,Whole season,Salinity (Non-drought),Whole season,Clay,1.24,7.65,8.56,NA,NA,NA,NA,0.44,Crop Productivity,kg/ha,5062,10,4,4666,10,4
Hazman et al. (2022),BWh,Field,Tomato,Whole season,Combined salinity–osmotic stress,Whole season,Sandy loam,2.5,NA,7.85,NA,NA,NA,NA,NA,Crop Productivity,kg/ha,27000,"3,350",5,21000,"3,350",5
Manzoor et al. (2022),Cfa,Field,Tea (Camellia sinensis),Whole season,None (Control),NA,Clay,NA,108,4.35,NA,NA,NA,NA,NA,Soil Functional Properties,g/cm³,1.11,0.04,4,1.23,0.04,4
Abiya et al. (2022),Cwb,Pot,"Kale, Swiss chard",Whole season,Moderate–Severe,Whole season,NA,NA,NA,NA,Cattle dung slurry,NA,NA,NA,NA,Crop Productivity,NA,112,6.93,3,50,5.2,3
Ramadan et al. (2023),BSh,Field,Faba bean,Whole season,Moderate,Whole season,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Use Efficiency,kg/m³,1.65,0.07,3,1.1,0.09,3
Ali et al. (2023),BWh,Pot,Barley,Germination–seedling,Mild,Germination stage,Sand,NA,1.097,7.73,NA,NA,NA,NA,NA,Crop Productivity,Day?¹,2.47,0.66,3,0.93,0.66,3
Ali et al. (2023),BWh,Pot,Barley,Germination–seedling,Mild,Germination stage,Sand,16.72,1.097,7.73,NA,NA,NA,NA,NA,Crop Productivity,Day?¹,2.47,1.32,3,0.93,1.32,3
Chang et al. (2024),Dwa,Field,Wheat,Whole season,None (Control),Vegetative–reproductive,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crop Productivity,kg/ha,5563.86,11.57,3,4392.37,112.36,3
Guo et al. (2025),Cwa,Field,Rice,Whole season,Mild,Whole season,NA,NA,NA,8.17,NA,NA,NA,NA,NA,Crop Productivity,kg/ha,8520.9,371.4,3,7353.7,280.5,3
Chowdhury et al. (2024),NA,Pot,Wheat,Reproductive stage,Severe,Reproductive stage,Silty clay loam,1.14,NA,6.34,NA,30,7.07,16.2,0.44,Crop Productivity,kg/ha,3940,730,3,2600,520,3
Adeyemi Ogunwole et al. (2025),NA,Field,Plantain (Musa spp.),Whole season,None (Control),NA,Sandy loam,5.09,0.23,5.25,NA,20,8.7,NA,52.3,Crop Productivity,kg/ha,23.19,2.91,12,16.89,5.4,12
Egilla et al. (2001),Cfa,Pot,Hibiscus rosa-sinensis,Vegetative stage,Severe,NA,Loamy,NA,NA,6,NA,NA,NA,NA,NA,Crop Productivity,g,78.1,3,10,54.1,1.7,10
Saudy et al. (2023),BWh,Field,Wheat,Whole season,Moderate–Severe,Whole season,Sandy clay loam,1.89,1.11,7.7,NA,NA,NA,NA,NA,Crop Productivity,kg/ha,6220,250,4,5360,200,4
Wan et al. (2023b),Cfa,Pot,Maize,NA,Mild,Whole season,Silty clay loam,0.18,0.36,7.7,SWP,NA,7.9,3.2,85.5,Plant Functional Traits & Physiology,m,90.24,15.07,4,66.06,11.19,4
Wan et al. (2023b),Cfa,Pot,Maize,NA,Mild,Whole season,Silty clay loam,0.18,0.36,7.7,WSP,NA,9.9,6.2,68.3,Plant Functional Traits & Physiology,g plant?¹,0.72,0.04,4,0.44,0.05,4
Wan et al. (2023b),Cfa,Pot,Maize,NA,Mild,Whole season,Silty clay loam,0.18,0.36,7.7,WSP,NA,9.9,6.2,68.3,Crop Productivity,g/plant,61.74,2.35,4,21.43,3.6,4
